Community,NDVI,LST_Day,LST_Night,WRF_T2_min,WRF_TSK_max,WRF_TSK_min,WRF_TW2_max,WRF_TW2_min,WRF_WBGT_max,WRF_WBGT_min
UPTOWN,0.3700384311032653,32.28509152735977,18.383385621982367,21.56751442438439,20.869602328916137,20.869602328916137,17.869418494309066,18.25044851665258,22.20231376116786,19.602471580988265
ENGLEWOOD,0.4426615862346524,36.30961054575687,20.871301593304256,22.76630933971014,35.459493046203136,20.210112719436815,19.19883064381803,18.84311213868311,24.195869410073364,20.06360242062574
PORTAGE PARK,0.3576384860040967,38.86477521913088,19.788271924360576,22.96997065050853,35.97745820845681,20.263011450055046,19.15978414601293,18.675141803697606,24.464435636586188,19.95872267799811
EDGEWATER,0.3081877119834121,31.99487583646742,18.12864631713433,21.4898162841797,20.7595458984375,20.7595458984375,17.79150390625,18.1662111282349,22.1731948852539,19.5465822219849
WASHINGTON PARK,0.4133108307952066,35.057542096110666,20.228593390053614,22.657317278128243,34.91793157696819,20.141060964416216,19.094266458840515,18.78331777289477,23.96997261262964,20.031765973019983
CHICAGO LAWN,0.3799598550290112,38.87797801454621,20.37681853074923,23.2647338867188,36.2260681152344,20.5361877441406,19.53173828125,18.9534177780151,24.6935338973999,20.1830387115479
EAST GARFIELD PARK,0.3293782143007859,37.75436767044473,20.865332525853123,22.8976531982422,35.7965637207031,20.2067810058594,19.15087890625,18.6979494094849,24.27956199646,19.9934310913086
SOUTH LAWNDALE,0.257514852751493,38.01865767314855,20.096795015968173,23.07836884355125,36.15459421058436,20.396965419953112,19.28652168375205,18.800671819154232,24.51438344216509,20.072214892480226
AVALON PARK,0.394221806846741,37.47791752709739,20.332325551602565,22.91886826446286,35.73978467766032,20.365813550174963,19.438422908323563,18.97244283283111,24.47174613418376,20.097993749470533
NEAR NORTH SIDE,0.2098507647912983,33.14653836227234,19.283875001151003,21.493866343896254,20.311084431400072,20.311084431400072,17.66171582865051,18.004043433553036,22.13280516989689,19.47958621963153
JEFFERSON PARK,0.4103315038090316,37.66438786695766,19.5750286409944,22.9831176757813,35.976953125,20.268441772461,19.1640625,18.6748046875,24.4788274765015,19.9584465026855
